対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes,選手名,出場時間,ポジション,シュート,PA内シュート,PA内ゴール,PA外ゴール,PA進入,ボールゲイン,パス,ラストパス,ドリブル,PA内シュート枠内率(%),PA内シュート決定率(%),タックル奪取率(%),空中戦勝率(%),パス成功率(%),シュート_per90,PA内シュート_per90,PA内ゴール_per90,PA外ゴール_per90,PA進入_per90,ボールゲイン_per90,パス_per90,ラストパス_per90,ドリブル_per90,Player,Minutes,Minutes TIP,Minutes OTIP,M/min OTIP,M/min,PSV-99,Sprint Count TIP,Sprint Distance TIP,Explosive Acceleration to Sprint Count TIP,Explosive Acceleration to HSR Count TIP,High Acceleration Count TIP,Medium Acceleration Count TIP,High Deceleration Count TIP,Medium Deceleration Count TIP,Change of Direction Count TIP,HI Count TIP,HSR Distance TIP,HSR Count TIP,Running Distance TIP,Distance TIP,HI Distance TIP,Distance OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,High Acceleration Count OTIP,HI Distance OTIP,High Acceleration Count,Explosive Acceleration to HSR Count,Explosive Acceleration to Sprint Count,Change of Direction Count,Sprint Count TIP_per90,Sprint Distance TIP_per90,Explosive Acceleration to Sprint Count TIP_per90,Explosive Acceleration to HSR Count TIP_per90,High Acceleration Count TIP_per90,Medium Acceleration Count TIP_per90,High Deceleration Count TIP_per90,Medium Deceleration Count TIP_per90,Change of Direction Count TIP_per90,HI Count TIP_per90,HSR Distance TIP_per90,HSR Count TIP_per90,Running Distance TIP_per90,Distance TIP_per90,HI Distance TIP_per90,Distance OTIP_per90,Running Distance OTIP_per90,HSR Distance OTIP_per90,HSR Count OTIP_per90,Sprint Distance OTIP_per90,Sprint Count OTIP_per90,High Acceleration Count OTIP_per90,HI Distance OTIP_per90,High Acceleration Count_per90,Explosive Acceleration to HSR Count_per90,Explosive Acceleration to Sprint Count_per90,Change of Direction Count_per90
2024-2025,J3,温井　駿斗,Hayato Nukui,DF,Central Defender,6466.0,5705.17,auto_j3_outfield,88.15,15.24,72.0,95.63,88.23,17.0,"score>=82.0, gap>=12.0, name>=70.0",温井　駿斗,6466,DF,23,3,0,0,39,469,4371,67,1,1.3888888888888888,0.0,37.5,45.35138888888889,81.87916666666666,0.3201360965047943,0.0417568821527992,0.0,0.0,0.5428394679863904,6.527992576554284,60.83977729662852,0.9325703680791834,0.0139189607175997,Hayato Nukui,5705.17,1542.73,1463.52,132.22241379310344,94.54413793103448,34.1,50.0,1558.0,5.0,22.0,56.0,1686.0,142.0,1367.0,248.0,550.0,5802.0,500.0,20599.0,175391.0,7360.0,191837.0,30814.0,12124.0,1097.0,3581.0,146.0,101.0,15705.0,241.0,129.0,30.0,1092.0,2.916907041413598,90.89082341044772,0.2916907041413598,1.2834390982219832,3.26693588638323,98.35810543646652,8.284015997614619,79.74823851224777,14.467858925411443,32.08597745554958,338.47789308563387,29.169070414135977,1201.707362921574,10231.984858011449,429.3687164960816,11797.1261069203,1894.924565431289,745.572318793047,67.46064283371598,220.2156444735979,8.978353558543784,6.211052804198097,965.7879632666449,3.801814845131696,2.03499632789207,0.4732549599748999,17.22648054308636
2024-2025,J3,黒木　謙吾,Kengo  Kuroki,DF,Central Defender,6434.0,6069.53,auto_j3_outfield,97.72,26.96,100.0,96.7,94.34,16.0,"score>=82.0, gap>=12.0, name>=70.0",黒木　謙吾,6434,DF,24,22,5,0,4,630,3411,11,3,12.1,5.47945205479452,57.55753424657534,65.93013698630136,74.51232876712328,0.335716506061548,0.307740130556419,0.0699409387628225,0.0,0.055952751010258,8.812558284115637,47.71370842399751,0.1538700652782095,0.0419645632576935,Kengo  Kuroki,6069.53,1491.83,1567.85,142.45158730158732,102.1236507936508,32.9,78.0,1750.0,7.0,39.0,82.0,1681.0,147.0,1382.0,355.0,689.0,6038.0,611.0,22458.0,188821.0,7788.0,221552.0,37352.0,14652.0,1402.0,4546.0,237.0,152.0,19198.0,358.0,227.0,71.0,1587.0,4.70562999805608,105.57503200766844,0.4223001280306737,2.35281499902804,4.94694435693075,101.41235931708036,8.86830268864415,83.37411099119873,21.416649350127027,41.56639831616203,364.2640247213154,36.860768318105954,1354.8594679018388,11391.30463926855,469.8390567289839,12717.849284051408,2144.1336862582516,841.0753579742961,80.4796377204452,260.9560863603023,13.60461778869152,8.725324488949836,1102.0314443345983,5.308483523435917,3.3659937425138353,1.052799804927235,23.532299865063685
2024-2025,J3,蓑田　広大,Kodai  Minoda,DF,Central Defender,6420.0,5642.4800000000005,auto_j3_outfield,96.05,19.24,100.0,94.73,87.89,11.0,"score>=82.0, gap>=12.0, name>=70.0",蓑田　広大,6420,DF,41,37,1,1,20,750,2939,13,7,5.935616438356164,0.4561643835616438,62.85479452054794,57.00547945205479,62.534246575342465,0.5747663551401869,0.5186915887850467,0.014018691588785,0.014018691588785,0.2803738317757009,10.514018691588785,41.200934579439256,0.1822429906542056,0.0981308411214953,Kodai  Minoda,5642.4800000000005,1208.39,1552.18,141.02457627118645,99.69305084745764,31.5,62.0,1486.0,6.0,20.0,77.0,1120.0,106.0,928.0,206.0,488.0,3925.0,426.0,14495.0,140121.0,5411.0,220504.0,40441.0,14843.0,1360.0,3889.0,207.0,141.0,18732.0,322.0,177.0,45.0,1305.0,4.617714479596819,110.67618897872376,0.4468755947996921,1.4895853159989738,5.734903466596048,83.41677769594253,7.894802174794561,69.11675866235238,15.342728754789428,36.34588171037496,292.3311182647986,31.728167230778137,1079.576957770256,10436.109203154609,403.00730724352235,12785.475911298943,2344.8891236841087,860.6411627517427,78.85683361465809,225.49575435838625,12.002473939878106,8.175598190931463,1086.136917110129,5.136039472005217,2.8232266662885817,0.7177694914293006,20.81531525144971
2024-2025,J3,鈴木　順也,Junya Suzuki,DF,Central Defender,6375.0,5649.47,auto_j3_outfield,96.43,21.46,100.0,95.31,88.62,16.0,"score>=82.0, gap>=12.0, name>=70.0",鈴木　順也,6375,DF,48,42,3,0,13,618,4766,15,3,11.501408450704226,2.816901408450704,51.92535211267605,57.13098591549296,84.69577464788732,0.6776470588235294,0.5929411764705883,0.0423529411764705,0.0,0.1835294117647058,8.724705882352941,67.28470588235294,0.2117647058823529,0.0423529411764705,Junya Suzuki,5649.47,1534.48,1373.66,133.38859649122807,93.56561403508772,30.5,51.0,1177.0,1.0,17.0,54.0,1565.0,117.0,1347.0,307.0,519.0,4804.0,468.0,19358.0,176623.0,5981.0,180584.0,30143.0,12333.0,1089.0,3470.0,165.0,109.0,15803.0,255.0,145.0,35.0,1103.0,2.9912413325686873,69.03315781241854,0.0586517908346801,0.9970804441895624,3.1671967050727283,91.79005265627444,6.862259527657577,79.00396225431417,18.006099786246807,30.440279443199,281.7632031698035,27.44903811063031,1135.3813669777385,10359.255252593712,350.796360982222,11831.574043067429,1974.9210139335787,808.0383792204766,71.34953336342326,227.34883450053144,10.810535358094434,7.141505175953292,1035.387213721008,4.062327970588392,2.3099511989620263,0.5575744273356615,17.571559810035275
2024-2025,J3,辻岡　佑真,Yuma  Tsujioka,DF,Central Defender,6203.0,5597.88,auto_j3_outfield,97.05,31.61,100.0,96.21,90.24,19.0,"score>=82.0, gap>=12.0, name>=70.0",辻岡　佑真,6203,DF,52,38,3,1,23,675,3880,30,11,10.416666666666666,4.166666666666667,61.80833333333333,66.17083333333333,73.33333333333333,0.7544736417862324,0.5513461228437853,0.0435273254876672,0.014509108495889,0.333709495405449,9.793648234725133,56.29534096404965,0.4352732548766725,0.1596001934547799,Yuma  Tsujioka,5597.88,1387.37,1461.04,143.56525423728814,104.1657627118644,31.4,81.0,1838.0,3.0,34.0,82.0,1843.0,157.0,1509.0,420.0,768.0,6898.0,687.0,27124.0,184573.0,8736.0,208582.0,38163.0,15429.0,1401.0,4171.0,229.0,144.0,19600.0,373.0,209.0,51.0,1587.0,5.254546371912323,119.23279298240556,0.1946128285893452,2.2056120573459133,5.319417314775438,119.55714769672112,10.18473802950907,97.89025278044068,27.245796002508342,49.82088411887239,447.479763869768,44.56633774696007,1759.5594542191338,11973.424537073744,566.7125568521735,12848.642063187866,2350.8391282921752,950.4257241417074,86.30153863001698,256.9334172917922,14.106389968789356,8.870393692164486,1207.3591414334996,5.99691311710862,3.36020064738794,0.8199532680228944,25.51501639906536
2024-2025,J3,鈴木　大誠,Daisei Suzuki,DF,Central Defender,5943.0,5455.63,auto_j3_outfield,95.33,20.46,92.31,97.03,91.8,16.0,"score>=82.0, gap>=12.0, name>=70.0",鈴木　大誠,5943,DF,20,17,2,0,13,555,4505,9,0,9.859154929577464,2.816901408450704,39.20140845070423,61.27605633802818,81.96760563380282,0.3028773346794548,0.2574457344775366,0.0302877334679454,0.0,0.1968702675416456,8.404846037354872,68.2231196365472,0.1362948006057546,0.0,Daisei Suzuki,5455.63,1487.3,1422.09,140.9240677966102,106.30067796610167,30.3,39.0,1091.0,1.0,17.0,73.0,2043.0,117.0,1651.0,390.0,553.0,5894.0,514.0,29601.0,194988.0,6985.0,201570.0,37898.0,14560.0,1270.0,3493.0,185.0,123.0,18053.0,326.0,158.0,25.0,1558.0,2.359981173939353,66.01896053250857,0.0605123377933167,1.0287097424863847,4.417400658912123,123.62670611174612,7.07994352181806,99.90586969676596,23.599811739393537,33.463322799704166,356.6597189538089,31.103341625764813,1791.225711019969,11799.179721643248,422.6786794863175,12756.787545092084,2398.4557939370925,921.4606670463896,80.37465983165623,221.0619581039175,11.70811973925701,7.784317448262768,1142.522625150307,5.377930688114847,2.606481744546459,0.4124179975548195,25.701889607616348
2024-2025,J3,附木　雄也,Yuya Tsukegi,DF,Central Defender,5940.0,5827.81,auto_j3_outfield,99.24,29.11,100.0,98.91,98.11,18.0,"score>=82.0, gap>=12.0, name>=70.0",附木　雄也,5940,DF,33,32,4,0,23,537,3910,13,8,19.696969696969695,5.303030303030303,49.621212121212125,63.38333333333333,75.86363636363636,0.5,0.4848484848484848,0.0606060606060606,0.0,0.3484848484848485,8.136363636363637,59.242424242424235,0.1969696969696969,0.1212121212121212,Yuya Tsukegi,5827.81,1537.77,1446.32,134.5979661016949,100.43406779661017,30.6,44.0,1121.0,0.0,10.0,52.0,1737.0,133.0,1448.0,332.0,545.0,5318.0,501.0,23142.0,193026.0,6439.0,193921.0,31961.0,12132.0,1006.0,2202.0,103.0,125.0,14334.0,265.0,135.0,30.0,1244.0,2.5751575333112235,65.60799079186094,0.0,0.5852630757525508,3.043367993913264,101.66019625821806,7.783998907508925,84.74609336896935,19.430734114984688,31.89683762851402,311.2429036852065,29.32168009520279,1354.415809906553,11297.099046021189,376.8508944770674,12067.101333038332,1988.8337297416897,754.9366668510427,62.600254438851714,137.02361856297364,6.409369987278057,7.778361635046186,891.9602854140163,4.092446390668192,2.0848311801517205,0.4632958178114935,19.211333245249932
2024-2025,J3,加藤　大育,Daisuke Kato,DF,Central Defender,5884.0,5469.4800000000005,auto_j3_outfield,91.94,20.53,81.82,96.35,92.96,19.0,"score>=82.0, gap>=12.0, name>=70.0",加藤　大育,5884,DF,33,23,3,0,28,613,2936,26,34,11.194029850746269,4.477611940298507,49.80149253731343,58.67462686567164,73.35522388059702,0.5047586675730795,0.3518014955812373,0.0458871515975526,0.0,0.4282800815771584,9.376274643099933,44.9082256968049,0.3976886471787899,0.5200543847722637,Daisuke Kato,5469.4800000000005,1269.04,1434.02,141.31125,101.00017857142858,31.8,154.0,3454.0,16.0,57.0,91.0,1560.0,147.0,1262.0,390.0,993.0,8252.0,839.0,23003.0,166444.0,11706.0,200818.0,34363.0,14955.0,1384.0,4291.0,237.0,139.0,19246.0,385.0,253.0,89.0,1521.0,10.921641555821724,244.9568177520015,1.1347160057996597,4.042425770661287,6.453697282985564,110.6348105654668,10.425203303284372,89.50072495744816,27.658702641366705,70.42331210994138,585.2297799911744,59.501670554119656,1631.367017588098,11804.16692933241,830.186597743176,12603.464386828637,2156.6435614566044,938.5852359102385,86.86071323970377,269.30586742165383,14.874269535989736,8.723727702542503,1207.8911033318925,6.335154347396827,4.163101428289343,1.464490225761864,25.027973408806687
2024-2025,J3,下川　陽太,Yota Shimokawa,DF,Full Back,5872.0,5531.89,auto_j3_outfield,96.68,26.26,96.55,96.72,94.21,20.0,"score>=82.0, gap>=12.0, name>=70.0",下川　陽太,5872,DF,37,14,0,1,139,394,3513,86,170,2.2058823529411766,0.0,47.575,41.98970588235294,71.36323529411764,0.5670980926430518,0.2145776566757493,0.0,0.0153269754768392,2.130449591280654,6.03882833787466,53.84366485013624,1.3181198910081744,2.6055858310626703,Yota Shimokawa,5531.89,1378.88,1430.68,143.00661016949152,108.2828813559322,31.6,236.0,5598.0,30.0,104.0,144.0,1930.0,273.0,1474.0,730.0,1508.0,13449.0,1272.0,32412.0,194134.0,19047.0,202644.0,36016.0,14387.0,1353.0,3997.0,213.0,143.0,18384.0,405.0,295.0,83.0,2026.0,15.403805987468088,365.3834996518914,1.9581109306103504,6.788117892782548,9.39893246692968,125.9718032025992,17.81880946855419,96.20851705732188,47.64736597818519,98.42770944534692,877.82113019262,83.02390345787886,2115.543049431423,12671.19691343699,1243.2046298445114,12747.756311683954,2265.663880112953,905.04515335365,85.11337266195096,251.43987474487656,13.399222747225094,8.995722313864736,1156.4850280985263,6.589068112344967,4.7994446744241115,1.3503522304311908,32.96160986570593
2024-2025,J3,杉山　耕二,Koji  Sugiyama,DF,Central Defender,5569.0,5389.61,auto_j3_outfield,98.91,19.6,100.0,98.52,96.78,12.0,"score>=82.0, gap>=12.0, name>=70.0",杉山　耕二,5569,DF,28,26,2,0,13,510,3149,13,3,12.625757575757577,3.0303030303030303,45.10303030303031,63.43333333333334,77.38484848484848,0.4525049380499192,0.4201831567606393,0.0323217812892799,0.0,0.2100915783803196,8.242054228766385,50.89064463997127,0.2100915783803196,0.0484826719339199,Koji  Sugiyama,5389.61,1305.62,1366.66,136.465,96.41178571428571,31.0,43.0,987.0,4.0,31.0,69.0,1409.0,118.0,1142.0,332.0,456.0,3860.0,413.0,18259.0,159553.0,4847.0,186265.0,32008.0,12244.0,1129.0,3307.0,166.0,128.0,15551.0,320.0,170.0,45.0,1242.0,2.964109005683124,68.03664159556381,0.2757310702961045,2.1369157947948105,4.756360962607804,97.12626951180285,8.134066573735085,78.72122056953785,22.88567883457668,31.43334201375592,266.0804828357409,28.4692330080728,1258.6434031341432,10998.429864738591,334.11712443130466,12266.291542885574,2107.854184654559,806.3161283713579,74.34914316655203,217.7791111176152,10.931760642734842,8.42930941126542,1024.095239488973,5.343614844116736,2.838795385937016,0.751445837453916,20.73990511372808
